id,label,kind,kind_th,district,province,lng,lat,coverage,nearest_km,mean_nn_km,anisotropy,cluster
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,health,รพ.สต./สถานีอนามัย,เมืองสงขลา,สงขลา,100.5754,7.1351,14,1.3307,11.7423,0.5202,0
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,hospital,โรงพยาบาล,เมืองสงขลา,สงขลา,100.6137,7.1784,11,0.37,10.9729,0.8309,0
south-facilities:9001/3,โรงพยาบาล โรงพยาบาลฐานทัพเรือสงขลา,hospital,โรงพยาบาล,เมืองสงขลา,สงขลา,100.6063,7.184,12,1.0352,8.4555,0.8593,0
south-facilities:9001/4,สถานีตำรวจ กน่วยกู้ชีพ เทศบาลเขารูปช้าง,police,สถานีตำรวจ,เมืองสงขลา,สงขลา,100.6143,7.1751,13,0.37,10.4226,0.8104,0
south-facilities:9001/5,หน่วยทหาร ฐานทัพเรือสงขลา,military,หน่วยทหาร,เมืองสงขลา,สงขลา,100.5821,7.2155,11,0.4265,10.2882,0.8395,0
south-facilities:9001/6,โรงพยาบาล โรงพยาบาลสงขลา,hospital,โรงพยาบาล,เมืองสงขลา,สงขลา,100.5649,7.141,16,1.3307,13.1128,0.5243,0
south-facilities:9001/7,หน่วยทหาร 5th Field Artilery Battalion,military,หน่วยทหาร,เมืองสงขลา,สงขลา,100.6228,7.143,11,3.6951,12.5379,0.563,0
south-facilities:9001/8,สถานีตำรวจ (ไม่ระบุชื่อ) เมืองสงขลา,police,สถานีตำรวจ,เมืองสงขลา,สงขลา,100.5951,7.2139,8,1.2184,5.6285,0.5753,0
south-facilities:9001/9,สถานีตำรวจ สถานีตํารวจภูธรเมืองสงขลา,police,สถานีตำรวจ,เมืองสงขลา,สงขลา,100.5842,7.2123,11,0.4265,9.77,0.9001,0
south-facilities:9002,โรงพยาบาล (ไม่ระบุชื่อ) สทิงพระ,hospital,โรงพยาบาล,สทิงพระ,สงขลา,100.4441,7.4561,2,22.2943,22.8536,,0
south-facilities:9003,ด่านตรวจ (ไม่ระบุชื่อ) จะนะ,checkpoint,ด่านตรวจ,จะนะ,สงขลา,100.683,6.9774,8,0.0203,12.2899,0.6218,0
south-facilities:9003/2,ด่านตรวจ (ไม่ระบุชื่อ) จะนะ,checkpoint,ด่านตรวจ,จะนะ,สงขลา,100.6828,6.9774,8,0.0203,12.2836,0.622,0
south-facilities:9003/3,สถานีตำรวจ (ไม่ระบุชื่อ) จะนะ,police,สถานีตำรวจ,จะนะ,สงขลา,100.6889,6.9581,6,2.2452,13.6556,0.5506,0
south-facilities:9003/4,โรงพยาบาล โรงพยาบาลจะนะ,hospital,โรงพยาบาล,จะนะ,สงขลา,100.7401,6.9152,4,7.3989,17.1721,0.3343,0
south-facilities:9004,โรงพยาบาล โรงพยาบาลสมเด็จพระบรมราชินีนาถ,hospital,โรงพยาบาล,นาทวี,สงขลา,100.6934,6.7295,1,21.2769,21.2769,,0
south-facilities:9005,โรงพยาบาล โรงพยาบาลเทพา,hospital,โรงพยาบาล,เทพา,สงขลา,100.9542,6.8044,5,0.0806,14.6368,0.5497,0
south-facilities:9005/2,โรงพยาบาล โรงพยาบาลเทพา,hospital,โรงพยาบาล,เทพา,สงขลา,100.955,6.8044,6,0.0806,15.5984,0.4916,0
south-facilities:9006,โรงพยาบาล โรงพยาบาลสะบ้าย้อย,hospital,โรงพยาบาล,สะบ้าย้อย,สงขลา,100.9484,6.6241,5,0.0463,18.004,0.5048,0
south-facilities:9006/2,โรงพยาบาล โรงพยาบาลสะบ้าย้อย,hospital,โรงพยาบาล,สะบ้าย้อย,สงขลา,100.9487,6.6239,5,0.0463,17.987,0.5047,0
south-facilities:9007,โรงพยาบาล โรงพยาบาลระโนด,hospital,โรงพยาบาล,ระโนด,สงขลา,100.3366,7.7835,2,2.2146,10.1573,,0
south-facilities:9007/2,สถานีตำรวจ (ไม่ระบุชื่อ) ระโนด,police,สถานีตำรวจ,ระโนด,สงขลา,100.3179,7.7762,2,2.2146,9.7653,,0
south-facilities:9008,โรงพยาบาล โรงพยาบาลกระแสสินธุ์,hospital,โรงพยาบาล,กระแสสินธุ์,สงขลา,100.3289,7.6209,2,17.316,19.8052,,0
south-facilities:9009,สถานีตำรวจ (ไม่ระบุชื่อ) รัตภูมิ,police,สถานีตำรวจ,รัตภูมิ,สงขลา,100.2349,7.1853,4,0.003,10.0986,0.7972,0
south-facilities:9009/2,โรงพยาบาล โรงพยาบาลรัตภูมิ,hospital,โรงพยาบาล,รัตภูมิ,สงขลา,100.2531,7.1325,6,0.0483,11.9135,0.5711,0
south-facilities:9009/3,สถานีตำรวจ (ไม่ระบุชื่อ) รัตภูมิ,police,สถานีตำรวจ,รัตภูมิ,สงขลา,100.2349,7.1852,4,0.003,10.1,0.7971,0
south-facilities:9009/4,โรงพยาบาล โรงพยาบาลรัตภูมิ,hospital,โรงพยาบาล,รัตภูมิ,สงขลา,100.2529,7.1321,6,0.0483,11.9186,0.57,0
south-facilities:9010,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4192,6.5199,3,1.102,10.2716,0.6539,0
south-facilities:9010/2,สถานีตำรวจ ด่านตรวจ,police,สถานีตำรวจ,สะเดา,สงขลา,100.4178,6.5297,4,0.9376,7.4114,0.8873,0
south-facilities:9010/3,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.416,6.5379,3,0.6563,5.5666,1.2119,0
south-facilities:9010/4,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4535,6.7869,9,4.4187,15.6245,0.3294,0
south-facilities:9010/5,โรงพยาบาล โรงพยาบาลปาดังเบซาร์,hospital,โรงพยาบาล,สะเดา,สงขลา,100.3417,6.652,6,2.1059,15.2007,0.5376,0
south-facilities:9010/6,โรงพยาบาล โรงพยาบาลพัชรเวช,hospital,โรงพยาบาล,สะเดา,สงขลา,100.4188,6.6342,6,0.5229,6.7345,0.9515,0
south-facilities:9010/7,โรงพยาบาล โรงพยาบาลสะเดา,hospital,โรงพยาบาล,สะเดา,สงขลา,100.4071,6.6358,10,0.1418,8.2208,0.8512,0
south-facilities:9010/8,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4163,6.5438,5,0.6563,7.4283,0.7279,0
south-facilities:9010/9,สถานีตำรวจ กองร้อยตำรวจตระเวนชายแดนที่ 437,police,สถานีตำรวจ,สะเดา,สงขลา,100.4208,6.6385,7,0.2897,5.5676,1.0963,0
south-facilities:9010/10,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4227,6.6368,10,0.0631,5.0148,1.1819,1
south-facilities:9010/11,โรงพยาบาล โรงพยาบาลสะเดา,hospital,โรงพยาบาล,สะเดา,สงขลา,100.4069,6.637,9,0.1418,7.9738,0.9147,0
south-facilities:9010/12,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.3283,6.6655,7,0.3332,11.6336,0.6829,0
south-facilities:9010/13,สถานีตำรวจ ด่านตรวจคนเข้าเมืองปาดังเบซาร์,police,สถานีตำรวจ,สะเดา,สงขลา,100.3257,6.6669,7,0.3332,11.8185,0.668,0
south-facilities:9010/14,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4233,6.6369,9,0.0107,5.4303,1.1383,0
south-facilities:9010/15,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4233,6.637,10,0.0095,5.064,1.1777,0
south-facilities:9010/16,สถานีตำรวจ (ไม่ระบุชื่อ) สะเดา,police,สถานีตำรวจ,สะเดา,สงขลา,100.4233,6.6371,10,0.0095,5.0622,1.1778,0
south-facilities:9011,รพ.สต./สถานีอนามัย โพลีคลินิคเพชระหาดใหญ่,health,รพ.สต./สถานีอนามัย,หาดใหญ่,สงขลา,100.4744,7.0157,20,0.6224,6.5453,1.0641,1
south-facilities:9011/2,สถานีตำรวจ (ไม่ระบุชื่อ) หาดใหญ่,police,สถานีตำรวจ,หาดใหญ่,สงขลา,100.4648,7.0063,22,0.0215,5.1256,1.1114,1
south-facilities:9011/3,สถานีดับเพลิง (ไม่ระบุชื่อ) หาดใหญ่,fire,สถานีดับเพลิง,หาดใหญ่,สงขลา,100.5002,7.0103,17,0.4951,10.0913,0.7488,1
south-facilities:9011/4,รพ.สต./สถานีอนามัย The V-Sage clinic Hatyai เดอะวีสาจคลินิกหาดใหญ่,health,รพ.สต./สถานีอนามัย,หาดใหญ่,สงขลา,100.4914,7.0048,18,0.4038,7.8486,0.9068,1
