anchor_id,anchor_label,sector,abbr,ทิศ,องศา,neighbour_id,neighbour_label,neighbour_kind,ระยะเส้นตรง_กม,ระยะตามถนน_กม,detour,snap_anchor_m,snap_nbr_m
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,0,N,อุดร (เหนือ),0.0,south-facilities:9001/5,หน่วยทหาร ฐานทัพเรือสงขลา,หน่วยทหาร,8.969,13.118,1.463,33.823638752248094,223.45620966272125
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,1,NbE,เหนือค่อนอีสาน,11.25,south-facilities:9001/9,สถานีตำรวจ สถานีตํารวจภูธรเมืองสงขลา,สถานีตำรวจ,8.638,12.614,1.46,33.823638752248094,37.67396040236064
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,2,NNE,เหนือ-อีสาน,22.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,3,NEbN,อีสานค่อนเหนือ,33.75,south-facilities:9001/3,โรงพยาบาล โรงพยาบาลฐานทัพเรือสงขลา,โรงพยาบาล,6.418,8.879,1.383,33.823638752248094,147.85443395026337
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,4,NE,อีสาน (ตอ.เฉียงเหนือ),45.0,south-facilities:9001/4,สถานีตำรวจ กน่วยกู้ชีพ เทศบาลเขารูปช้าง,สถานีตำรวจ,6.177,8.138,1.317,33.823638752248094,17.500637487933474
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,5,NEbE,อีสานค่อนบูรพา,56.25,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,6,ENE,บูรพา-อีสาน,67.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,7,EbN,บูรพาค่อนเหนือ,78.75,south-facilities:9001/7,หน่วยทหาร 5th Field Artilery Battalion,หน่วยทหาร,5.3,17.074,3.221,33.823638752248094,257.7609340848567
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,8,E,บูรพา (ตะวันออก),90.0,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,9,EbS,บูรพาค่อนใต้,101.25,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,10,ESE,บูรพา-อาคเนย์,112.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,11,SEbE,อาคเนย์ค่อนบูรพา,123.75,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,12,SE,อาคเนย์ (ตอ.เฉียงใต้),135.0,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,13,SEbS,อาคเนย์ค่อนใต้,146.25,south-facilities:9003/2,ด่านตรวจ (ไม่ระบุชื่อ) จะนะ,ด่านตรวจ,21.17,27.167,1.283,33.823638752248094,0.03492864193374608
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,14,SSE,ใต้-อาคเนย์,157.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,15,SbE,ใต้ค่อนบูรพา,168.75,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,16,S,ทักษิณ (ใต้),180.0,south-facilities:9012,โรงพยาบาล โรงพยาบาลนาหม่อม,โรงพยาบาล,16.789,19.618,1.168,33.823638752248094,166.50934497782745
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,17,SbW,ใต้ค่อนประจิม,191.25,south-facilities:9012/2,สถานีตำรวจ (ไม่ระบุชื่อ) นาหม่อม,สถานีตำรวจ,20.008,24.194,1.209,33.823638752248094,27.68356801387466
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,18,SSW,ใต้-หรดี,202.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,19,SWbS,หรดีค่อนใต้,213.75,south-facilities:9011/7,หน่วยทหาร ค่ายเสนาณรงค์,หน่วยทหาร,14.707,16.55,1.125,33.823638752248094,47.68297195517997
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,20,SW,หรดี (ตต.เฉียงใต้),225.0,south-facilities:9011/26,โรงพยาบาล โรงพยาบาลศิครินทร์หาดใหญ่,โรงพยาบาล,17.12,20.026,1.17,33.823638752248094,71.3143489287222
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,21,SWbW,หรดีค่อนประจิม,236.25,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,22,WSW,ประจิม-หรดี,247.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,23,WbS,ประจิมค่อนใต้,258.75,south-facilities:9014/3,โรงพยาบาล โรงพยาบาลบางกล่ำ,โรงพยาบาล,18.865,40.173,2.129,33.823638752248094,752.6748743679142
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,24,W,ประจิม (ตะวันตก),270.0,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,25,WbN,ประจิมค่อนเหนือ,281.25,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,26,WNW,ประจิม-พายัพ,292.5,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,27,NWbW,พายัพค่อนประจิม,303.75,south-facilities:9001/6,โรงพยาบาล โรงพยาบาลสงขลา,โรงพยาบาล,1.331,2.257,1.696,33.823638752248094,312.9522554864306
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,28,NW,พายัพ (ตต.เฉียงเหนือ),315.0,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,29,NWbN,พายัพค่อนเหนือ,326.25,,— ว่าง —,,,,,,
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,30,NNW,เหนือ-พายัพ,337.5,south-facilities:9015/4,โรงพยาบาล โรงพยาบาลสิงหนคร,โรงพยาบาล,12.106,15.17,1.253,33.823638752248094,567.4390063520451
south-facilities:9001,รพ.สต./สถานีอนามัย Sampit,31,NbW,เหนือค่อนประจิม,348.75,south-facilities:9015/2,รพ.สต./สถานีอนามัย (ไม่ระบุชื่อ) สิงหนคร,รพ.สต./สถานีอนามัย,6.794,17.221,2.535,33.823638752248094,219.61463642796394
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,0,N,อุดร (เหนือ),0.0,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,1,NbE,เหนือค่อนอีสาน,11.25,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,2,NNE,เหนือ-อีสาน,22.5,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,3,NEbN,อีสานค่อนเหนือ,33.75,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,4,NE,อีสาน (ตอ.เฉียงเหนือ),45.0,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,5,NEbE,อีสานค่อนบูรพา,56.25,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,6,ENE,บูรพา-อีสาน,67.5,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,7,EbN,บูรพาค่อนเหนือ,78.75,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,8,E,บูรพา (ตะวันออก),90.0,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,9,EbS,บูรพาค่อนใต้,101.25,,— ว่าง —,,,,,,
south-facilities:9001/2,โรงพยาบาล โรงพยาบาลจิตเวชสงขลาราชนครินทร์,10,ESE,บูรพา-อาคเนย์,112.5,,— ว่าง —,,,,,,
