district,province,lat,lon,cluster,cluster_name,activity_score,silhouette,n_events,active_month_frac,burstiness_gb,fano,gini_time,acf1,trend_lograte,temporal_centroid,recent36_share,nonverified_share,media_share
บันนังสตา,yala,6.25659152981503,101.2604850768395,1,sustained / higher-intensity,3.8622564948976077,0.5234460312460485,758.0,0.7202797202797203,0.13086028771950942,4.4868535158772636,0.609738546414008,0.6605760860800226,-0.09810407744272312,0.3184465120585104,0.04221635883905013,0.03825857519788922,0.002638522427440633
เมืองยะลา,yala,6.561684683673289,101.2479524942277,1,sustained / higher-intensity,3.7813377648479882,0.4788006121044764,810.0,0.6748251748251748,0.1628281922974208,5.464128464128464,0.6469653802987136,0.6663569216106748,-0.1287349225573482,0.2930734243014945,0.025925925925925925,0.0888888888888889,0.02345679012345679
ยะรัง,pattani,6.69587657611756,101.29922861021,1,sustained / higher-intensity,3.7535384790601523,0.5488722519385624,589.0,0.6363636363636364,0.048678346112349107,2.502528880287793,0.5855070226886865,0.5767939762315164,-0.11283710628627051,0.32499329818604233,0.030560271646859084,0.015280135823429575,0.001697792869269949
หนองจิก,pattani,6.796861195209471,101.17355760156639,1,sustained / higher-intensity,3.360578982426132,0.5703264377177417,533.0,0.6468531468531469,0.0761249846962041,2.528483711410541,0.5987549036329525,0.5201594378432555,-0.12639217969382577,0.3284355353674994,0.03189493433395872,0.018761726078799223,0.0150093808630394
ระแงะ,narathiwat,6.218904453805733,101.71353774557436,1,sustained / higher-intensity,3.152144840084052,0.48423707993106846,554.0,0.5454545454545454,0.14681175895467047,3.4997601676302037,0.6622024185201081,0.5850347413618032,-0.16362696351168732,0.2853188929001203,0.01263537906137184,0.0018050541516245744,0.02888086642599278
รามัน,yala,6.491832910099232,101.444215393367,1,sustained / higher-intensity,3.0136747587019004,0.4715822605209321,498.0,0.5594405594405595,0.15024379322918544,3.1904681663717804,0.6655152076838823,0.6266893237394785,-0.12172383039947242,0.30269146762488547,0.018072289156626505,0.1124497991967871,0.0
สายบุรี,pattani,6.675529701394651,101.57537915073729,1,sustained / higher-intensity,2.790225959018934,0.4495206623485347,503.0,0.6713286713286714,0.07027887940492004,2.3307219619346853,0.5814553240000555,0.46375841745789764,-0.07090944561980224,0.37595479753060584,0.04970178926441352,0.01988071570576544,0.0019880715705765406
โคกโพธิ์,pattani,6.71380625520618,101.11502540837012,1,sustained / higher-intensity,2.7543020718097333,0.5184733545719628,430.0,0.5734265734265734,0.15773529901593153,2.8406895430151247,0.6463002114164904,0.5046045815586512,-0.13741906015666588,0.3165891472868217,0.020930232558139535,0.0,0.002325581395348837
เมืองปัตตานี,pattani,6.848954261251739,101.25628066058408,1,sustained / higher-intensity,2.471591111493357,0.5449959178964888,436.0,0.5699300699300699,0.09659156749545214,2.2461666773593385,0.625088214537756,0.4104380054876381,-0.10653134338063869,0.3289956542732979,0.027522935779816515,0.011467889908256867,0.0045871559633027525
รือเสาะ,narathiwat,6.372183566633265,101.51647888681518,1,sustained / higher-intensity,2.144208001499869,0.4790284019989763,497.0,0.5909090909090909,0.14695482467136253,3.141513416161304,0.6485415992458246,0.5828792477640978,-0.08411805915530324,0.34298422111617066,0.04024144869215292,0.014084507042253502,0.04426559356136821
ยะหริ่ง,pattani,6.85551142266408,101.34010976175618,1,sustained / higher-intensity,1.3974027108249019,0.4273951868033914,273.0,0.5174825174825175,0.1359540702762518,1.6498501498501497,0.6444965291119137,0.3837525174464899,-0.1004482391763798,0.3361609151082835,0.02197802197802198,0.01831501831501836,0.014652014652014652
ยะหา,yala,6.419389833667273,101.12924376043124,1,sustained / higher-intensity,1.1029611502086374,0.33074658371618737,291.0,0.46503496503496505,0.22408564150198365,2.532345661211641,0.703373945641987,0.44691594667276996,-0.10780952794543357,0.33880749984927955,0.020618556701030927,0.05841924398625431,0.030927835051546393
มายอ,pattani,6.690618264875616,101.40497477672827,1,sustained / higher-intensity,1.087302528348345,0.2456100723504256,295.0,0.5244755244755245,0.10117874504427143,1.5481924854806213,0.6281498162854096,0.354766671800401,-0.06155142360947308,0.3936604222420458,0.04067796610169491,0.0474576271186441,0.0
บาเจาะ,narathiwat,6.569755144594299,101.63440755398555,1,sustained / higher-intensity,0.6436940479454537,0.22200861743949782,268.0,0.486013986013986,0.1728260691132569,1.883832585325123,0.6727898966704937,0.3273622211701797,-0.09902102579427788,0.3529719821942917,0.014925373134328358,0.007462686567164201,0.08208955223880597
เจาะไอร้อง,narathiwat,6.228315817923206,101.84501049426892,1,sustained / higher-intensity,0.6053069901464494,0.2711030656119012,254.0,0.43006993006993005,0.21145005627494795,2.0961400803920487,0.7102582456913166,0.34164499650197283,-0.10215805942000825,0.30494543445227246,0.03543307086614173,0.015748031496062964,0.023622047244094488
ปะนาเระ,pattani,6.825642673402521,101.50342217007898,1,sustained / higher-intensity,0.5628816215361752,0.22509214708112135,251.0,0.46503496503496505,0.15920427532284784,1.6681943554453516,0.6738221937425126,0.3611582181775444,-0.07937501764177779,0.3622003215209338,0.05179282868525897,0.0239043824701195,0.00796812749003984
สุไหงปาดี,narathiwat,6.1144702985087385,101.86695895705303,1,sustained / higher-intensity,0.5257879273807472,0.11517807322358505,341.0,0.43006993006993005,0.31198192493806665,4.335551545228964,0.7597051042798844,0.7345965259036841,-0.050096825705329744,0.27522765858928844,0.06744868035190615,0.0029325513196480912,0.07917888563049853
ธารโต,yala,6.0698741705086645,101.2644373246191,0,sporadic / lower-intensity,-0.12974661423917763,-0.08670997969014745,203.0,0.3881118881118881,0.31153864733455944,2.5759240759240756,0.7395535498983775,0.44104885617183714,-0.08991603233884807,0.31755250194451645,0.059113300492610835,0.03448275862068961,0.059113300492610835
เมืองนราธิวาส,narathiwat,6.394348113164454,101.7821780879163,0,sporadic / lower-intensity,-0.13220160478041992,0.011274988444723456,235.0,0.4825174825174825,0.13607052604627154,1.4208748698110398,0.6478649010563905,0.3479309870327227,-0.038198044496627975,0.39889511011571477,0.10212765957446808,0.17021276595744683,0.01702127659574468
กรงปินัง,yala,6.384941793644481,101.25765719637587,0,sporadic / lower-intensity,-0.3374190700603913,-0.032630790901286046,179.0,0.36713286713286714,0.23740490821488075,1.6478688908856514,0.7343634019611673,0.13774209686256744,-0.10065096673591137,0.3368813094187984,0.027932960893854747,0.08938547486033521,0.00558659217877095
ศรีสาคร,narathiwat,6.208864840951466,101.50219604412563,0,sporadic / lower-intensity,-0.4659641666838034,0.07628352214340156,235.0,0.46153846153846156,0.2062312900648138,1.8974706144918911,0.6801220056539204,0.46768854913704844,-0.045563093549193474,0.389578200821202,0.07659574468085106,0.03404255319148941,0.13617021276595745
สะบ้าย้อย,songkhla,6.5266699320770645,100.90588053993821,0,sporadic / lower-intensity,-0.8938629452099273,0.020599849998640347,134.0,0.24125874125874125,0.43410726598066635,3.009080471767039,0.8490241102181401,0.5409389311647824,-0.06844611803701098,0.25456925896831634,0.014925373134328358,0.0,0.11194029850746269
จะแนะ,narathiwat,6.028283355186439,101.62364523902592,0,sporadic / lower-intensity,-1.0451123395282345,0.16158570376594722,219.0,0.46153846153846156,0.14867894734866166,1.394083085863908,0.6604559823737906,0.13033715628022663,-0.04382213900581775,0.412272690859569,0.1004566210045662,0.0,0.0547945205479452
ตากใบ,narathiwat,6.189493803309608,102.03629729540587,0,sporadic / lower-intensity,-1.164239112567881,0.229664052871326,202.0,0.42657342657342656,0.20172631239760414,1.600636986775601,0.6958041958041958,0.2214522803082896,-0.05281818705155669,0.3815876324474553,0.07920792079207921,0.034653465346534684,0.12871287128712872
กะพ้อ,pattani,6.613336223717028,101.54727435938273,0,sporadic / lower-intensity,-1.3150504494350104,0.2315267663051932,157.0,0.4195804195804196,0.15163115433626526,1.0115585051890785,0.6581666740902409,0.23034354524526318,-0.04126844236407062,0.4078444518940664,0.07643312101910828,0.05095541401273884,0.05732484076433121
ทุ่งยางแดง,pattani,6.634853553371185,101.45113097153951,0,sporadic / lower-intensity,-1.484139247678675,0.24813990531120464,162.0,0.3741258741258741,0.21973392383542317,1.3841837175170506,0.7178623845290513,0.21845618653629184,-0.03589158383735625,0.4124106562703054,0.08641975308641975,0.012345679012345734,0.012345679012345678
ยี่งอ,narathiwat,6.396799397675197,101.70529349306553,0,sporadic / lower-intensity,-2.105982852428674,0.30072573010199455,103.0,0.2902097902097902,0.25641795851588395,1.0282096544232464,0.7525629710095729,0.24368075366549458,-0.05835112668140344,0.3814341679441322,0.02912621359223301,0.0,0.07766990291262135
สุไหงโก-ลก,narathiwat,6.050972418904979,101.99327743538967,0,sporadic / lower-intensity,-2.6919941553711086,0.397052149718453,98.0,0.27972027972027974,0.2762507809924272,1.0655059226487795,0.7623804766661909,0.09876875462558063,-0.05241437697337721,0.35485141424991046,0.061224489795918366,0.010204081632653073,0.09183673469387756
เทพา,songkhla,6.759548466693827,100.91579597187962,0,sporadic / lower-intensity,-2.7570041027753884,0.3446966256673822,105.0,0.25874125874125875,0.34214066950255706,1.5281052281052279,0.802963702963703,0.09553512803676967,-0.02954931368684319,0.43221386800334166,0.02857142857142857,0.00952380952380949,0.0380952380952381
เบตง,yala,5.8683566891594765,101.24434218256386,0,sporadic / lower-intensity,-2.8160601422510156,0.2651529068857867,40.0,0.11888111888111888,0.4845499205529996,1.1601398601398605,0.8958041958041958,0.20234493192133138,-0.057762265046662105,0.29964912280701755,0.025,0.125,0.0
ไม้แก่น,pattani,6.61979644008342,101.6567670355379,0,sporadic / lower-intensity,-2.8657478553873057,0.4294344791700122,78.0,0.22727272727272727,0.3426000376232964,1.1375291375291376,0.8057199211045366,0.1652814058418428,-0.05149900470123908,0.3606837606837607,0.0641025641025641,0.012820512820512775,0.05128205128205128
จะนะ,songkhla,6.8863864946554365,100.72617651376397,0,sporadic / lower-intensity,-2.9365387559548632,0.19353981303269543,56.0,0.11888111888111888,0.5709894535544299,2.6256243756243753,0.9199550449550449,0.06266906673536672,-0.03225684931177235,0.22807017543859648,0.0,0.0,0.08928571428571429
กาบัง,yala,6.32563735435472,100.94847847920283,0,sporadic / lower-intensity,-3.00672506357021,0.3663828233439247,62.0,0.17132867132867133,0.41479979450325827,1.267087750958719,0.8575456801263253,0.2357883446549869,-0.030419721812020854,0.36632710809281266,0.04838709677419355,0.12903225806451613,0.016129032258064516
สุคิริน,narathiwat,5.90481341333119,101.73216785803984,0,sporadic / lower-intensity,-3.351370910771689,0.3735688479402045,48.0,0.14335664335664336,0.4820098659531879,1.3738344988344988,0.8761655011655012,0.3021398914084972,-0.024596228984502626,0.3269736842105263,0.041666666666666664,0.0,0.0625
แว้ง,narathiwat,5.882524089845257,101.8820947978485,0,sporadic / lower-intensity,-3.6764254596950803,0.3717405569099946,75.0,0.19230769230769232,0.40049301899719636,1.4310955710955713,0.8476923076923076,0.3567222767419027,0.0,0.35962573099415207,0.16,0.040000000000000036,0.14666666666666667
แม่ลาน,pattani,6.676509058656181,101.24307832062301,0,sporadic / lower-intensity,-3.8336105918415844,0.42566280439310145,53.0,0.15384615384615385,0.44072782736744404,1.2297796543079562,0.8687821612349914,0.07896154260476104,-0.022221872660009745,0.38636213174445544,0.07547169811320754,0.037735849056603765,0.018867924528301886
